,car,location,delay,price,ARAI Mileage,Engine Displacement (cc),Max Torque (nm@rpm),Seating Capacity,Boot Space (Litres),Body Type,Fuel Type,Max Power (bhp@rpm),TransmissionType,Fuel Tank Capacity,Service Cost (Avg. of 5 years),City Mileage,Monthly Units Sold
68,Dzire,Mumbai,21 days,"6,87,068",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,4173
69,Dzire,Pune,15 days,"6,87,068",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,965
70,Dzire,Kolkata,14 days,"6,57,618",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,1523
71,Dzire,Noida,14 days,"6,66,624",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,97
72,Dzire,Ahmedabad,0 days,"6,57,618",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,1223
73,Dzire,Delhi,0 days,"6,46,809",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,3593
74,Dzire,Hyderabad,0 days,"6,80,052",24.12 kmpl,1197,113Nm@4400rpm,5,378,Sedan,Petrol,88.50bhp@6000rpm,Automatic,37,"Rs.2,949",0,1183
75,Ertiga,Indore,84 days,"8,64,315",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,201
76,Ertiga,Bengaluru,70 days,"9,01,545",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,559
77,Ertiga,Gurugram,56 days,"8,55,615",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,22
78,Ertiga,Noida,56 days,"8,54,619",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,32
79,Ertiga,Hyderabad,49 days,"8,81,828",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,394
80,Ertiga,Delhi,42 days,"8,50,531",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,1197
81,Ertiga,Lucknow,35 days,"8,58,472",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,271
82,Ertiga,Ahmedabad,30 days,"8,42,708",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,407
83,Ertiga,Chandigarh,28 days,"8,43,292",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,105
84,Ertiga,Chennai,28 days,"8,74,435",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,474
85,Ertiga,Jaipur,28 days,"8,82,158",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,297
86,Ertiga,Mumbai,28 days,"8,82,572",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,1390
87,Ertiga,Kolkata,21 days,"8,44,075",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,507
88,Ertiga,Pune,15 days,"8,82,025",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,321
89,Ertiga,Patna,119 days,"8,73,791",17.99 kmpl,1462,138Nm@4400rpm,7,209,MUV,Petrol,103bhp@6000rpm,Automatic,45,"Rs.3,949",0,175
90,Ignis,Hyderabad,45 days,"5,91,363",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,107
91,Ignis,Mumbai,42 days,"5,67,805",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,377
92,Ignis,Chennai,30 days,"5,67,862",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,128
93,Ignis,Delhi,30 days,"5,39,920",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,324
94,Ignis,Gurugram,30 days,"5,44,365",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,6
95,Ignis,Noida,30 days,"5,57,571",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,9
96,Ignis,Patna,30 days,"5,62,464",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,47
97,Ignis,Ahmedabad,28 days,"5,48,289",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,110
98,Ignis,Lucknow,28 days,"5,59,367",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,73
99,Ignis,Jaipur,25 days,"5,67,781",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,80
100,Ignis,Kolkata,15 days,"5,48,289",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,137
101,Ignis,Indore,14 days,"5,60,683",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,55
102,Ignis,Pune,14 days,"5,72,755",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,87
103,Ignis,Bengaluru,10 days,"6,05,963",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,151
104,Ignis,Chandigarh,0 days,"5,47,785",20.89 kmpl,1197,113Nm@4200rpm,5,260,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,32,0,14.65 kmpl,29
105,S-Cross,Hyderabad,45 days,"10,52,572",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,150
106,S-Cross,Mumbai,42 days,"10,36,696",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,529
107,S-Cross,Chennai,30 days,"10,12,771",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,181
108,S-Cross,Delhi,30 days,"10,00,437",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,456
109,S-Cross,Gurugram,30 days,"9,93,083",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,8
110,S-Cross,Noida,30 days,"9,90,129",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,12
111,S-Cross,Patna,30 days,"10,11,863",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,67
112,S-Cross,Ahmedabad,28 days,"9,72,181",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,155
113,S-Cross,Lucknow,28 days,"9,94,249",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,103
114,S-Cross,Jaipur,25 days,"10,45,118",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,113
115,S-Cross,Pune,21 days,"10,39,192",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,122
116,S-Cross,Kolkata,15 days,"9,77,544",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,193
117,S-Cross,Indore,14 days,"9,93,773",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,77
118,S-Cross,Bengaluru,10 days,"10,61,561",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,213
119,S-Cross,Chandigarh,0 days,"9,77,800",25.1 kmpl,1248,200Nm@1750rpm,5,353,SUV,Diesel,88.5bhp@4000rpm,Manual,48,"Rs.4,875",19.16 kmpl,40
120,Swift,Noida,70 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,95
121,Swift,Gurugram,56 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,64
122,Swift,Bengaluru,45 days,"5,18,999",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,1654
123,Swift,Indore,35 days,"5,19,052",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,595
124,Swift,Lucknow,35 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,801
125,Swift,Mumbai,30 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,4112
126,Swift,Chandigarh,28 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,311
127,Swift,Chennai,28 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,1402
128,Swift,Jaipur,28 days,"5,18,690",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,879
129,Swift,Kolkata,28 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,1501
130,Swift,Patna,28 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,518
131,Swift,Pune,15 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,951
132,Swift,Hyderabad,14 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,1166
133,Swift,Ahmedabad,0 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,1205
134,Swift,Delhi,0 days,"5,19,000",21.21 kmpl,1197,113Nm@4200rpm,5,268,Hatchback,Petrol,81.80bhp@6000rpm,Automatic,37,0,0,3541
135,Vitara Brezza,Patna,63 days,"8,51,440",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",0,363
136,Vitara Brezza,Delhi,56 days,"8,24,347",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",0,2481
137,Vitara Brezza,Gurugram,56 days,"8,29,217",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",0,45
138,Vitara Brezza,Bengaluru,49 days,"8,72,303",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",0,1159
139,Vitara Brezza,Indore,35 days,"8,39,799",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",0,417
140,Vitara Brezza,Lucknow,35 days,"8,30,578",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",0,561
141,Vitara Brezza,Chennai,28 days,"8,46,015",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",0,983
142,Vitara Brezza,Jaipur,28 days,"8,52,874",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",0,616
143,Vitara Brezza,Kolkata,28 days,"8,16,655",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",0,1052
144,Vitara Brezza,Noida,28 days,"8,28,249",18.76 kmpl,1462,138nm@4400rpm,5,328,SUV,Petrol,103.2bhp@6000rpm,Automatic,48,"Rs.3,658",0,67
